type,mass_drivers_online,area_m2,system
launch,,235464053.76793063,mercury_mass_driver
launch,,235487932.4124813,mercury_mass_driver
launch,,235511802.47546667,mercury_mass_driver
infrastructure,8341.0,,
launch,,235535663.96392155,mercury_mass_driver
launch,,235559516.88487163,mercury_mass_driver
launch,,235583361.2453337,mercury_mass_driver
launch,,235607197.05231553,mercury_mass_driver
launch,,235631024.31281596,mercury_mass_driver
launch,,235654843.03382492,mercury_mass_driver
launch,,235678653.22232333,mercury_mass_driver
infrastructure,8616.0,,
launch,,235702454.88528323,mercury_mass_driver
launch,,235726248.0296679,mercury_mass_driver
launch,,235750032.66243154,mercury_mass_driver
launch,,235773808.79051962,mercury_mass_driver
launch,,235797576.4208687,mercury_mass_driver
launch,,235821335.56040654,mercury_mass_driver
launch,,235845086.216052,mercury_mass_driver
infrastructure,8892.0,,
launch,,235868828.3947153,mercury_mass_driver
launch,,235892562.10329777,mercury_mass_driver
launch,,235916287.34869197,mercury_mass_driver
launch,,235940004.1377817,mercury_mass_driver
launch,,235963712.47744203,mercury_mass_driver
launch,,235987412.37453938,mercury_mass_driver
launch,,236011103.8359313,mercury_mass_driver
infrastructure,9167.0,,
launch,,236034786.86846682,mercury_mass_driver
launch,,236058461.47898608,mercury_mass_driver
launch,,236082127.67432085,mercury_mass_driver
launch,,236105785.46129397,mercury_mass_driver
launch,,236129434.84671968,mercury_mass_driver
launch,,236153075.83740383,mercury_mass_driver
launch,,236176708.44014344,mercury_mass_driver
infrastructure,9443.0,,
launch,,236200332.66172695,mercury_mass_driver
launch,,236223948.50893432,mercury_mass_driver
launch,,236247555.9885369,mercury_mass_driver
launch,,236271155.1072975,mercury_mass_driver
launch,,236294745.8719704,mercury_mass_driver
launch,,236318328.2893013,mercury_mass_driver
launch,,236341902.36602753,mercury_mass_driver
infrastructure,9718.0,,
launch,,236365468.10887784,mercury_mass_driver
launch,,236389025.52457246,mercury_mass_driver
launch,,236412574.6198233,mercury_mass_driver
launch,,236436115.40133372,mercury_mass_driver
launch,,236459647.87579864,mercury_mass_driver
launch,,236483172.04990456,mercury_mass_driver
launch,,236506687.93032974,mercury_mass_driver
infrastructure,9994.0,,
launch,,236530195.52374384,mercury_mass_driver
launch,,236553694.83680823,mercury_mass_driver
launch,,236577185.87617603,mercury_mass_driver
launch,,236600668.64849174,mercury_mass_driver
launch,,236624143.16039187,mercury_mass_driver
launch,,236647609.41850433,mercury_mass_driver
launch,,236671067.42944884,mercury_mass_driver
infrastructure,10269.0,,
launch,,236694517.1998369,mercury_mass_driver
launch,,236717958.73627165,mercury_mass_driver
launch,,236741392.04534796,mercury_mass_driver
launch,,236764817.13365248,mercury_mass_driver
launch,,236788234.00776365,mercury_mass_driver
launch,,236811642.67425174,mercury_mass_driver
launch,,236835043.13967863,mercury_mass_driver
infrastructure,10544.0,,
launch,,236858435.41059816,mercury_mass_driver
launch,,236881819.49355602,mercury_mass_driver
launch,,236905195.3950896,mercury_mass_driver
launch,,236928563.12172833,mercury_mass_driver
launch,,236951922.67999327,mercury_mass_driver
launch,,236975274.07639763,mercury_mass_driver
launch,,236998617.31744626,mercury_mass_driver
infrastructure,10820.0,,
launch,,237021952.40963605,mercury_mass_driver
launch,,237045279.35945585,mercury_mass_driver
launch,,237068598.17338628,mercury_mass_driver
launch,,237091908.85790005,mercury_mass_driver
launch,,237115211.41946182,mercury_mass_driver
launch,,237138505.86452818,mercury_mass_driver
launch,,237161792.1995477,mercury_mass_driver
infrastructure,11095.0,,
launch,,237185070.43096098,mercury_mass_driver
launch,,237208340.56520066,mercury_mass_driver
launch,,237231602.60869136,mercury_mass_driver
launch,,237254856.56784973,mercury_mass_driver
launch,,237278102.44908455,mercury_mass_driver
launch,,237301340.25879663,mercury_mass_driver
launch,,237324570.0033788,mercury_mass_driver
infrastructure,11371.0,,
launch,,237347791.68921614,mercury_mass_driver
launch,,237371005.32268563,mercury_mass_driver
launch,,237394210.91015658,mercury_mass_driver
launch,,237417408.4579902,mercury_mass_driver
launch,,237440597.97254017,mercury_mass_driver
launch,,237463779.460152,mercury_mass_driver
launch,,237486952.92716366,mercury_mass_driver
infrastructure,11646.0,,
launch,,237510118.37990507,mercury_mass_driver
launch,,237533275.82469845,mercury_mass_driver
launch,,237556425.2678583,mercury_mass_driver
launch,,237579566.7156913,mercury_mass_driver
launch,,237602700.17449623,mercury_mass_driver
launch,,237625825.65056437,mercury_mass_driver
launch,,237648943.15017912,mercury_mass_driver
infrastructure,11922.0,,
launch,,237672052.6796161,mercury_mass_driver
launch,,237695154.24514344,mercury_mass_driver
launch,,237718247.85302135,mercury_mass_driver
launch,,237741333.50950244,mercury_mass_driver
launch,,237764411.22083172,mercury_mass_driver
launch,,237787480.9932464,mercury_mass_driver
launch,,237810542.83297622,mercury_mass_driver
infrastructure,12197.0,,
launch,,237833596.74624312,mercury_mass_driver
launch,,237856642.73926157,mercury_mass_driver
launch,,237879680.81823826,mercury_mass_driver
launch,,237902710.98937246,mercury_mass_driver
launch,,237925733.2588558,mercury_mass_driver
launch,,237948747.63287228,mercury_mass_driver
launch,,237971754.11759838,mercury_mass_driver
infrastructure,12473.0,,
launch,,237994752.7192031,mercury_mass_driver
launch,,238017743.4438479,mercury_mass_driver
launch,,238040726.29768658,mercury_mass_driver
launch,,238063701.2868656,mercury_mass_driver
launch,,380938669.46803814,mercury_mass_driver
launch,,380975404.31326836,mercury_mass_driver
launch,,381012126.604474,mercury_mass_driver
infrastructure,12843.0,,
launch,,381048836.3514413,mercury_mass_driver
launch,,381085533.563945,mercury_mass_driver
launch,,381122218.2517474,mercury_mass_driver
launch,,381158890.4245996,mercury_mass_driver
launch,,381195550.0922401,mercury_mass_driver
launch,,381232197.2643961,mercury_mass_driver
launch,,381268831.95078295,mercury_mass_driver
infrastructure,13283.0,,
launch,,381305454.1611039,mercury_mass_driver
launch,,381342063.90505075,mercury_mass_driver
launch,,381378661.1923034,mercury_mass_driver
launch,,381415246.03252995,mercury_mass_driver
launch,,381451818.435387,mercury_mass_driver
launch,,381488378.41051924,mercury_mass_driver
launch,,381524925.9675598,mercury_mass_driver
infrastructure,13724.0,,
launch,,381561461.11613,mercury_mass_driver
launch,,381597983.86583996,mercury_mass_driver
launch,,381634494.2262875,mercury_mass_driver
launch,,381670992.2070594,mercury_mass_driver
