day,phase,pv_m2,structure_kg,launched_m2,cum_area_m2,optical_depth,power_GW_1AU_equiv,mass_drivers_online,energy_kWh,resource_remaining_kg,used_mass_kg_day,transport_MW_used,transport_MWh,band_0_area_m2,band_1_area_m2,band_2_area_m2,band_0_od,band_1_od,band_2_od
99,0,25338.90407071113,76016.7122121334,0.0,0.0,0.0,0.0,0,443792.3444547594,1.5425034164127286e+18,79817.54782274006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,25394.433532924762,76183.3005987743,0.0,0.0,0.0,0.0,0,444764.9023109843,1.5425034164126484e+18,79992.465628713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0,25449.535795750067,76348.6073872502,0.0,0.0,0.0,0.0,0,445729.97808283946,1.5425034164125683e+18,80166.03775661271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,25504.21828604117,76512.65485812351,0.0,0.0,0.0,0.0,0,446687.7018462347,1.542503416412488e+18,80338.28760102969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,25558.488230948078,76675.46469284424,0.0,0.0,0.0,0.0,0,447638.20017940877,1.5425034164124076e+18,80509.23792748645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,25612.352665148395,76837.05799544518,0.0,0.0,0.0,0.0,0,448581.5962895869,1.542503416412327e+18,80678.91089521744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,25665.818437750986,76997.45531325295,0.0,0.0,0.0,0.0,0,449518.0101338942,1.542503416412246e+18,80847.3280789156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0,25718.892218889458,77156.67665666838,0.0,0.0,0.0,0.0,0,450447.55853483506,1.542503416412165e+18,81014.5104895018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0,25771.58050602214,77314.74151806642,0.0,0.0,0.0,0.0,0,451370.3552906326,1.5425034164120837e+18,81180.47859396975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0,25823.889629954236,77471.66888986272,0.0,0.0,0.0,0.0,0,452286.511280703,1.5425034164120026e+18,81345.25233435586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,25875.8257605968,77627.4772817904,0.0,0.0,0.0,0.0,0,453196.1345665187,1.542503416411921e+18,81508.85114587992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0,25927.394912476328,77782.18473742898,0.0,0.0,0.0,0.0,0,454099.33048810606,1.5425034164118392e+18,81671.29397430042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0,25978.602950007928,77935.80885002378,0.0,0.0,0.0,0.0,0,454996.20175639994,1.5425034164117576e+18,81832.59929252497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0,26029.455592544193,78088.36677763257,0.0,0.0,0.0,0.0,0,455886.84854167176,1.5425034164116754e+18,81992.7851165142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0,26079.958419211227,78239.87525763368,0.0,0.0,0.0,0.0,0,456771.36855822854,1.5425034164115932e+18,82151.86902051537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0,26130.11687354258,78390.35062062774,0.0,0.0,0.0,0.0,0,457649.8571455731,1.542503416411511e+18,82309.86815165913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0,26179.93626792123,78539.80880376369,0.0,0.0,0.0,0.0,0,458522.40734620206,1.5425034164114286e+18,82466.79924395187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
